"Code","Display","Codesystem","Category"
"346553009","Product containing lidocaine and prilocaine ","http://snomed.info/sct","medication"
"349358000","Radiopharmaceuticals ","http://snomed.info/sct","medication"
"350086004","Product containing fluorescein stain ","http://snomed.info/sct","medication"
"350162003","Product containing amoxicillin in oral dose form (medicinal product form)","http://snomed.info/sct","medication"
"350163008","Product containing amoxicillin in parenteral dose form (medicinal product form)","http://snomed.info/sct","medication"
"353842007","Product containing thallium-201 ","http://snomed.info/sct","medication"
"353903006","Product containing iopromide ","http://snomed.info/sct","medication"
"353912008","Product containing iothalamate ","http://snomed.info/sct","medication"
"353924001","Product containing ioxaglate ","http://snomed.info/sct","medication"
"353962003","Product containing iodixanol ","http://snomed.info/sct","medication"
"354064008","Product containing methylene blue stain ","http://snomed.info/sct","medication"
"354088005","Product containing gadodiamide ","http://snomed.info/sct","medication"
"354094002","Product containing metrizoate ","http://snomed.info/sct","medication"
"356671000","Product containing iomeprol ","http://snomed.info/sct","medication"
"356862006","Product containing lercanidipine ","http://snomed.info/sct","medication"
"371952000","Systemic arterial blood ","http://snomed.info/sct","biologic"
"371953005","Pulmonary artery blood ","http://snomed.info/sct","biologic"
"371954004","Pulmonary vein blood ","http://snomed.info/sct","biologic"
"372480009","Substance with macrolide structure and antibacterial mechanism of action ","http://snomed.info/sct","medication"
"372578001","Plasma expander ","http://snomed.info/sct","medication"
"372580007","Bronchodilator ","http://snomed.info/sct","medication"
"372602008","Metronidazole ","http://snomed.info/sct","medication"
"372603003","Substance with aldosterone receptor antagonist mechanism of action ","http://snomed.info/sct","medication"
"372614000","Sedative ","http://snomed.info/sct","medication"
"372664007","Benzodiazepine ","http://snomed.info/sct","medication"
"372665008","Non-steroidal anti-inflammatory agent ","http://snomed.info/sct","medication"
"372666009","Skeletal muscle relaxant ","http://snomed.info/sct","medication"
"372677003","Lincomycin ","http://snomed.info/sct","medication"
"372681003","Hemostatic agent ","http://snomed.info/sct","medication"
"372682005","Diphenhydramine ","http://snomed.info/sct","medication"
"372693007","Class IV antiarrhythmic agent ","http://snomed.info/sct","medication"
"372695000","Diuretic ","http://snomed.info/sct","medication"
"372700007","Nitrate-based vasodilating agent ","http://snomed.info/sct","medication"
